"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"148",1.47,"m1",1,96.345183,20.263988,0,-4.955741,-26.761003,0,-4.955741,-26.761003,0
"149",1.48,"m1",1,96.295287,19.994552,0,-4.989569,-26.943672,0,-4.989569,-26.943672,0
"150",1.49,"m1",1,96.245053,19.723288,0,-5.023397,-27.126341,0,-5.023397,-27.126341,0
"151",1.5,"m1",1,96.194481,19.450198,0,-5.057224,-27.30901,0,-5.057224,-27.30901,0
"152",1.51,"m1",1,96.143571,19.175281,0,-5.091052,-27.491679,0,-5.091052,-27.491679,0
"153",1.52,"m1",1,96.092322,18.898538,0,-5.124879,-27.674348,0,-5.124879,-27.674348,0
"154",1.53,"m1",1,96.040735,18.619968,0,-5.158707,-27.857017,0,-5.158707,-27.857017,0
"155",1.54,"m1",1,95.988809,18.339571,0,-5.192534,-28.039686,0,-5.192534,-28.039686,0
"156",1.55,"m1",1,95.936546,18.057347,0,-5.226362,-28.222355,0,-5.226362,-28.222355,0
"157",1.56,"m1",1,95.883944,17.773297,0,-5.26019,-28.405024,0,-5.26019,-28.405024,0
"158",1.57,"m1",1,95.831004,17.48742,0,-5.294017,-28.587693,0,-5.294017,-28.587693,0
"159",1.58,"m1",1,95.777725,17.199716,0,-5.327845,-28.770362,0,-5.327845,-28.770362,0
"160",1.59,"m1",1,95.724109,16.910186,0,-5.361672,-28.953031,0,-5.361672,-28.953031,0
"161",1.6,"m1",1,95.670154,16.618829,0,-5.3955,-29.1357,0,-5.3955,-29.1357,0
"162",1.61,"m1",1,95.61586,16.325645,0,-5.429328,-29.318369,0,-5.429328,-29.318369,0
"163",1.62,"m1",1,95.561229,16.030635,0,-5.463155,-29.501038,0,-5.463155,-29.501038,0
"164",1.63,"m1",1,95.506259,15.733798,0,-5.496983,-29.683707,0,-5.496983,-29.683707,0
"165",1.64,"m1",1,95.450951,15.435134,0,-5.53081,-29.866376,0,-5.53081,-29.866376,0
"166",1.65,"m1",1,95.395304,15.134644,0,-5.564638,-30.049045,0,-5.564638,-30.049045,0
"167",1.66,"m1",1,95.33932,14.832327,0,-5.598466,-30.231714,0,-5.598466,-30.231714,0
"168",1.67,"m1",1,95.282997,14.528183,0,-5.632293,-30.414383,0,-5.632293,-30.414383,0
"169",1.68,"m1",1,95.226336,14.222212,0,-5.666121,-30.597052,0,-5.666121,-30.597052,0
"170",1.69,"m1",1,95.169336,13.914415,0,-5.699948,-30.779721,0,-5.699948,-30.779721,0
"171",1.7,"m1",1,95.111998,13.604791,0,-5.733776,-30.96239,0,-5.733776,-30.96239,0
"172",1.71,"m1",1,95.054322,13.293341,0,-5.767603,-31.145059,0,-5.767603,-31.145059,0
"173",1.72,"m1",1,94.996308,12.980063,0,-5.801431,-31.327728,0,-5.801431,-31.327728,0
"174",1.73,"m1",1,94.937955,12.664959,0,-5.835259,-31.510397,0,-5.835259,-31.510397,0
"175",1.74,"m1",1,94.879265,12.348029,0,-5.869086,-31.693066,0,-5.869086,-31.693066,0
"176",1.75,"m1",1,94.820235,12.029271,0,-5.902914,-31.875734,0,-5.902914,-31.875734,0
"177",1.76,"m1",1,94.760868,11.708687,0,-5.936741,-32.058403,0,-5.936741,-32.058403,0
"178",1.77,"m1",1,94.701162,11.386277,0,-5.970569,-32.241072,0,-5.970569,-32.241072,0
"179",1.78,"m1",1,94.641118,11.062039,0,-6.004397,-32.423741,0,-6.004397,-32.423741,0
"180",1.79,"m1",1,94.580736,10.735975,0,-6.038224,-32.60641,0,-6.038224,-32.60641,0
"181",1.8,"m1",1,94.520016,10.408084,0,-6.072052,-32.789079,0,-6.072052,-32.789079,0
"182",1.81,"m1",1,94.458957,10.078367,0,-6.105879,-32.971748,0,-6.105879,-32.971748,0
"183",1.82,"m1",1,94.39756,9.746823,0,-6.139707,-33.154417,0,-6.139707,-33.154417,0
"184",1.83,"m1",1,94.335824,9.413452,0,-6.173534,-33.337086,0,-6.173534,-33.337086,0
"185",1.84,"m1",1,94.273751,9.078254,0,-6.207362,-33.519755,0,-6.207362,-33.519755,0
"186",1.85,"m1",1,94.211339,8.74123,0,-6.24119,-33.702424,0,-6.24119,-33.702424,0
"187",1.86,"m1",1,94.148589,8.402379,0,-6.275017,-33.885093,0,-6.275017,-33.885093,0
"188",1.87,"m1",1,94.0855,8.061701,0,-6.308845,-34.067762,0,-6.308845,-34.067762,0
"189",1.88,"m1",1,94.022074,7.719197,0,-6.342672,-34.250431,0,-6.342672,-34.250431,0
"190",1.89,"m1",1,93.958309,7.374866,0,-6.3765,-34.4331,0,-6.3765,-34.4331,0
"191",1.9,"m1",1,93.894205,7.028708,0,-6.410328,-34.615769,0,-6.410328,-34.615769,0
"192",1.91,"m1",1,93.829764,6.680724,0,-6.444155,-34.798438,0,-6.444155,-34.798438,0
"193",1.92,"m1",1,93.764984,6.330913,0,-6.477983,-34.981107,0,-6.477983,-34.981107,0
"194",1.93,"m1",1,93.699866,5.979275,0,-6.51181,-35.163776,0,-6.51181,-35.163776,0
"195",1.94,"m1",1,93.634409,5.625811,0,-6.545638,-35.346445,0,-6.545638,-35.346445,0
"196",1.95,"m1",1,93.568615,5.27052,0,-6.579466,-35.529114,0,-6.579466,-35.529114,0
"197",1.96,"m1",1,93.502482,4.913402,0,-6.613293,-35.711783,0,-6.613293,-35.711783,0
"198",1.97,"m1",1,93.436011,4.554457,0,-6.647121,-35.894452,0,-6.647121,-35.894452,0
"199",1.98,"m1",1,93.369201,4.193686,0,-6.680948,-36.077121,0,-6.680948,-36.077121,0
