"","time","particle","mass","x","y","z","vx","vy","vz","p_x","p_y","p_z"
"159",1.58,"m1",1,-0.554847,-0.831952,0,2.822808,-1.953416,0,2.822808,-1.953416,0
"160",1.59,"m1",1,-0.525562,-0.850755,0,2.92856,-1.880329,0,2.92856,-1.880329,0
"161",1.6,"m1",1,-0.495255,-0.868748,0,3.030712,-1.799241,0,3.030712,-1.799241,0
"162",1.61,"m1",1,-0.463968,-0.885852,0,3.128627,-1.710391,0,3.128627,-1.710391,0
"163",1.62,"m1",1,-0.431752,-0.901993,0,3.221684,-1.614082,0,3.221684,-1.614082,0
"164",1.63,"m1",1,-0.398659,-0.917099,0,3.309278,-1.510676,0,3.309278,-1.510676,0
"165",1.64,"m1",1,-0.364751,-0.931105,0,3.39083,-1.400598,0,3.39083,-1.400598,0
"166",1.65,"m1",1,-0.330093,-0.943949,0,3.465793,-1.284327,0,3.465793,-1.284327,0
"167",1.66,"m1",1,-0.294756,-0.955573,0,3.533663,-1.1624,0,3.533663,-1.1624,0
"168",1.67,"m1",1,-0.258816,-0.965927,0,3.593977,-1.035403,0,3.593977,-1.035403,0
"169",1.68,"m1",1,-0.222353,-0.974966,0,3.646326,-0.903965,0,3.646326,-0.903965,0
"170",1.69,"m1",1,-0.185449,-0.982654,0,3.690356,-0.768758,0,3.690356,-0.768758,0
"171",1.7,"m1",1,-0.148192,-0.988959,0,3.725776,-0.630485,0,3.725776,-0.630485,0
"172",1.71,"m1",1,-0.110668,-0.993857,0,3.752357,-0.489876,0,3.752357,-0.489876,0
"173",1.72,"m1",1,-0.072969,-0.997334,0,3.769938,-0.347681,0,3.769938,-0.347681,0
"174",1.73,"m1",1,-0.035184,-0.999381,0,3.778426,-0.20466,0,3.778426,-0.20466,0
"175",1.74,"m1",1,0.002594,-0.999997,0,3.777801,-0.06158,0,3.777801,-0.06158,0
"176",1.75,"m1",1,0.040275,-0.999189,0,3.768108,0.080799,0,3.768108,0.080799,0
"177",1.76,"m1",1,0.077769,-0.996971,0,3.749462,0.221726,0,3.749462,0.221726,0
"178",1.77,"m1",1,0.11499,-0.993367,0,3.722046,0.36047,0,3.722046,0.36047,0
"179",1.78,"m1",1,0.151851,-0.988403,0,3.686103,0.496325,0,3.686103,0.496325,0
"180",1.79,"m1",1,0.18827,-0.982117,0,3.641937,0.628615,0,3.641937,0.628615,0
"181",1.8,"m1",1,0.224169,-0.97455,0,3.589909,0.756705,0,3.589909,0.756705,0
"182",1.81,"m1",1,0.259473,-0.96575,0,3.530425,0.88,0,3.530425,0.88,0
"183",1.82,"m1",1,0.294113,-0.955771,0,3.46394,0.997954,0,3.46394,0.997954,0
"184",1.83,"m1",1,0.328022,-0.94467,0,3.390945,1.110072,0,3.390945,1.110072,0
"185",1.84,"m1",1,0.361142,-0.932511,0,3.311963,1.215912,0,3.311963,1.215912,0
"186",1.85,"m1",1,0.393417,-0.91936,0,3.227544,1.315088,0,3.227544,1.315088,0
