"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"248",2.47,"m1",1,1,-29.924669,0,0,-24.18165,0,0,-24.18165,0
"249",2.48,"m1",1,1,-30.167467,0,0,-24.27975,0,0,-24.27975,0
"250",2.49,"m1",1,1,-30.411245,0,0,-24.37785,0,0,-24.37785,0
"251",2.5,"m1",1,1,-30.656005,0,0,-24.47595,0,0,-24.47595,0
"252",2.51,"m1",1,1,-30.901745,0,0,-24.57405,0,0,-24.57405,0
"253",2.52,"m1",1,1,-31.148467,0,0,-24.67215,0,0,-24.67215,0
"254",2.53,"m1",1,1,-31.396169,0,0,-24.77025,0,0,-24.77025,0
"255",2.54,"m1",1,1,-31.644853,0,0,-24.86835,0,0,-24.86835,0
"256",2.55,"m1",1,1,-31.894517,0,0,-24.96645,0,0,-24.96645,0
"257",2.56,"m1",1,1,-32.145163,0,0,-25.06455,0,0,-25.06455,0
"258",2.57,"m1",1,1,-32.396789,0,0,-25.16265,0,0,-25.16265,0
"259",2.58,"m1",1,1,-32.649397,0,0,-25.26075,0,0,-25.26075,0
"260",2.59,"m1",1,1,-32.902985,0,0,-25.35885,0,0,-25.35885,0
"261",2.6,"m1",1,1,-33.157555,0,0,-25.45695,0,0,-25.45695,0
"262",2.61,"m1",1,1,-33.413105,0,0,-25.55505,0,0,-25.55505,0
"263",2.62,"m1",1,1,-33.669637,0,0,-25.65315,0,0,-25.65315,0
"264",2.63,"m1",1,1,-33.927149,0,0,-25.75125,0,0,-25.75125,0
"265",2.64,"m1",1,1,-34.185643,0,0,-25.84935,0,0,-25.84935,0
"266",2.65,"m1",1,1,-34.445117,0,0,-25.94745,0,0,-25.94745,0
"267",2.66,"m1",1,1,-34.705573,0,0,-26.04555,0,0,-26.04555,0
"268",2.67,"m1",1,1,-34.967009,0,0,-26.14365,0,0,-26.14365,0
"269",2.68,"m1",1,1,-35.229427,0,0,-26.24175,0,0,-26.24175,0
"270",2.69,"m1",1,1,-35.492825,0,0,-26.33985,0,0,-26.33985,0
"271",2.7,"m1",1,1,-35.757205,0,0,-26.43795,0,0,-26.43795,0
"272",2.71,"m1",1,1,-36.022565,0,0,-26.53605,0,0,-26.53605,0
"273",2.72,"m1",1,1,-36.288907,0,0,-26.63415,0,0,-26.63415,0
"274",2.73,"m1",1,1,-36.556229,0,0,-26.73225,0,0,-26.73225,0
"275",2.74,"m1",1,1,-36.824533,0,0,-26.83035,0,0,-26.83035,0
"276",2.75,"m1",1,1,-37.093817,0,0,-26.92845,0,0,-26.92845,0
"277",2.76,"m1",1,1,-37.364083,0,0,-27.02655,0,0,-27.02655,0
"278",2.77,"m1",1,1,-37.635329,0,0,-27.12465,0,0,-27.12465,0
"279",2.78,"m1",1,1,-37.907557,0,0,-27.22275,0,0,-27.22275,0
"280",2.79,"m1",1,1,-38.180765,0,0,-27.32085,0,0,-27.32085,0
"281",2.8,"m1",1,1,-38.454955,0,0,-27.41895,0,0,-27.41895,0
"282",2.81,"m1",1,1,-38.730125,0,0,-27.51705,0,0,-27.51705,0
"283",2.82,"m1",1,1,-39.006277,0,0,-27.61515,0,0,-27.61515,0
"284",2.83,"m1",1,1,-39.283409,0,0,-27.71325,0,0,-27.71325,0
"285",2.84,"m1",1,1,-39.561523,0,0,-27.81135,0,0,-27.81135,0
"286",2.85,"m1",1,1,-39.840617,0,0,-27.90945,0,0,-27.90945,0
"287",2.86,"m1",1,1,-40.120693,0,0,-28.00755,0,0,-28.00755,0
"288",2.87,"m1",1,1,-40.401749,0,0,-28.10565,0,0,-28.10565,0
"289",2.88,"m1",1,1,-40.683787,0,0,-28.20375,0,0,-28.20375,0
