"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz"
"148",0.73,"m2",1,-0.435624,0,-1.856873,-10.105104,0,1.085282,-10.105104,0,1.085282
"149",0.74,"m1",1,-0.541966,0,-0.840401,-3.116971,0,1.930134,-3.116971,0,1.930134
"150",0.74,"m2",1,-0.53671,0,-1.840387,-10.10858,0,1.648575,-10.10858,0,1.648575
"151",0.75,"m1",1,-0.571907,0,-0.820319,-2.994139,0,2.008219,-2.994139,0,2.008219
"152",0.75,"m2",1,-0.637356,0,-1.818174,-10.064585,0,2.221245,-10.064585,0,2.221245
"153",0.76,"m1",1,-0.600597,0,-0.799552,-2.869027,0,2.076676,-2.869027,0,2.076676
"154",0.76,"m2",1,-0.737072,0,-1.790195,-9.971626,0,2.797914,-9.971626,0,2.797914
"155",0.77,"m1",1,-0.628021,0,-0.778197,-2.742366,0,2.135525,-2.742366,0,2.135525
"156",0.77,"m2",1,-0.835361,0,-1.756465,-9.828947,0,3.372997,-9.828947,0,3.372997
"157",0.78,"m1",1,-0.654169,0,-0.756348,-2.614859,0,2.184848,-2.614859,0,2.184848
"158",0.78,"m2",1,-0.931727,0,-1.717057,-9.636554,0,3.940828,-9.636554,0,3.940828
"159",0.79,"m1",1,-0.679041,0,-0.7341,-2.487174,0,2.224785,-2.487174,0,2.224785
"160",0.79,"m2",1,-1.025679,0,-1.672099,-9.395216,0,4.495786,-9.395216,0,4.495786
"161",0.8,"m1",1,-0.702641,0,-0.711545,-2.359944,0,2.255528,-2.359944,0,2.255528
"162",0.8,"m2",1,-1.116744,0,-1.621775,-9.106446,0,5.032423,-9.106446,0,5.032423
"163",0.81,"m1",1,-0.724978,0,-0.688772,-2.233759,0,2.277311,-2.233759,0,2.277311
"164",0.81,"m2",1,-1.204468,0,-1.566319,-8.772458,0,5.545578,-8.772458,0,5.545578
"165",0.82,"m1",1,-0.74607,0,-0.665868,-2.109164,0,2.290412,-2.109164,0,2.290412
"166",0.82,"m2",1,-1.288429,0,-1.506014,-8.396098,0,6.030483,-8.396098,0,6.030483
"167",0.83,"m1",1,-0.765936,0,-0.642916,-1.98666,0,2.29514,-1.98666,0,2.29514
"168",0.83,"m2",1,-1.368237,0,-1.441186,-7.980767,0,6.48285,-7.980767,0,6.48285
"169",0.84,"m1",1,-0.784603,0,-0.619998,-1.866698,0,2.291835,-1.866698,0,2.291835
"170",0.84,"m2",1,-1.44354,0,-1.372196,-7.530325,0,6.898943,-7.530325,0,6.898943
"171",0.85,"m1",1,-0.8021,0,-0.597189,-1.749683,0,2.280856,-1.749683,0,2.280856
"172",0.85,"m2",1,-1.51403,0,-1.29944,-7.048994,0,7.275631,-7.048994,0,7.275631
