"","time","particle","mass","x","y","z","vx","vy","vz","px","py","pz","ke","pe","te"
"89",0.44,"m1",1,0.596945,0,-0.802282,-3.041351,0,-2.355158,-3.041351,0,-2.355158,7.3982925550825,-7.87038642,-0.472093864917501
"90",0.44,"m2",1,1.584261,0,-0.961049,-3.310858,0,-4.132951,-3.310858,0,-4.132951,14.0215323322825,-9.42789069,4.5936416422825
"91",0.45,"m1",1,0.565238,0,-0.824928,-3.170659,0,-2.264542,-3.170659,0,-2.264542,7.5906144820225,-8.09254368,-0.5019291979775
"92",0.45,"m2",1,1.549253,0,-1.003016,-3.500816,0,-4.196673,-3.500816,0,-4.196673,14.9338884673925,-9.83958696,5.0943015073925
"93",0.46,"m1",1,0.532282,0,-0.846567,-3.295602,0,-2.163926,-3.295602,0,-2.163926,7.77178413794,-8.30482227,-0.533038132060001
"94",0.46,"m2",1,1.512282,0,-1.045565,-3.697069,0,-4.254922,-3.697069,0,-4.254922,15.8863402084225,-10.25699265,5.6293475584225
"95",0.47,"m1",1,0.498129,0,-0.867103,-3.415335,0,-2.053604,-3.415335,0,-2.053604,7.9409012755205,-8.50628043,-0.565379154479501
"96",0.47,"m2",1,1.473282,0,-1.088635,-3.899997,0,-4.306921,-3.899997,0,-4.306921,16.879772550125,-10.67950935,6.200263200125
"97",0.48,"m1",1,0.462839,0,-0.886443,-3.529028,0,-1.933956,-3.529028,0,-1.933956,8.09711221736,-8.69600583,-0.598893612640001
"98",0.48,"m2",1,1.432182,0,-1.132152,-4.110006,0,-4.351788,-4.110006,0,-4.351788,17.91510405849,-11.10641112,6.80869293849
"99",0.49,"m1",1,0.42648,0,-0.904497,-3.635875,0,-1.805449,-3.635875,0,-1.805449,8.239616553613,-8.87311557,-0.633499016387001
"100",0.49,"m2",1,1.388907,0,-1.176038,-4.327517,0,-4.388519,-4.327517,0,-4.388519,18.993251199325,-11.53693278,7.456318419325
"101",0.5,"m1",1,0.389129,0,-0.921183,-3.73511,0,-1.668631,-3.73511,0,-1.668631,8.3676880631305,-9.03680523,-0.6691171668695
"102",0.5,"m2",1,1.343377,0,-1.220197,-4.55294,0,-4.415983,-4.55294,0,-4.415983,20.1150842499445,-11.97013257,8.1449516799445
"103",0.51,"m1",1,0.350869,0,-0.936425,-3.82601,0,-1.524131,-3.82601,0,-1.524131,8.4806639126305,-9.18632925,-0.705665337369499
"104",0.51,"m2",1,1.295511,0,-1.264527,-4.786645,0,-4.43291,-4.786645,0,-4.43291,21.2813307120625,-12.40500987,8.8763208420625
"105",0.52,"m1",1,0.31179,0,-0.950151,-3.907909,0,-1.37265,-3.907909,0,-1.37265,8.5779603873905,-9.32098131,-0.743020922609499
"106",0.52,"m2",1,1.245222,0,-1.308905,-5.028939,0,-4.437887,-5.028939,0,-4.437887,22.492534245245,-12.84035805,9.652176195245
"107",0.53,"m1",1,0.271987,0,-0.962301,-3.980207,0,-1.21496,-3.980207,0,-1.21496,8.6590877822245,-9.44017281,-0.7810850277755
"108",0.53,"m2",1,1.192421,0,-1.353199,-5.28002,0,-4.429356,-5.28002,0,-4.429356,23.748902887568,-13.27488219,10.474020697568
"109",0.54,"m1",1,0.231564,0,-0.97282,-4.042373,0,-1.051894,-4.042373,0,-1.051894,8.7236302291825,-9.5433642,-0.819733970817499
"110",0.54,"m2",1,1.137022,0,-1.397255,-5.539943,0,-4.405616,-5.539943,0,-4.405616,25.0502103913525,-13.70707155,11.3431388413525
"111",0.55,"m1",1,0.190624,0,-0.981663,-4.09396,0,-0.884336,-4.09396,0,-0.884336,8.771279321248,-9.63011403,-0.858834708752001
"112",0.55,"m2",1,1.078936,0,-1.440903,-5.808579,0,-4.364837,-5.808579,0,-4.364837,26.395696017905,-14.13525843,12.260437587905
"113",0.56,"m1",1,0.149278,0,-0.988795,-4.134604,0,-0.713215,-4.134604,0,-0.713215,8.8018129365205,-9.70007895,-0.898266013479498
"114",0.56,"m2",1,1.018081,0,-1.483954,-6.085567,0,-4.305072,-6.085567,0,-4.305072,27.7838853183365,-14.55758874,13.2262965783365
"115",0.57,"m1",1,0.107638,0,-0.99419,-4.164033,0,-0.539493,-4.164033,0,-0.539493,8.815111761069,-9.7530039,-0.937892138931002
"116",0.57,"m2",1,0.954378,0,-1.526197,-6.370274,0,-4.224291,-6.370274,0,-4.224291,29.2125126438785,-14.97199257,14.2405200738785
"117",0.58,"m1",1,0.065817,0,-0.997832,-4.182069,0,-0.364153,-4.182069,0,-0.364153,8.811154264085,-9.78873192,-0.977577655915001
"118",0.58,"m2",1,0.88776,0,-1.567401,-6.661752,0,-4.12041,-6.661752,0,-4.12041,30.678359138802,-15.37620381,15.302155328802
"119",0.59,"m1",1,0.023931,0,-0.999714,-4.18863,0,-0.188191,-4.18863,0,-0.188191,8.7900185646905,-9.80719434,-1.0171757753095
"120",0.59,"m2",1,0.818173,0,-1.607315,-6.958704,0,-3.99134,-6.958704,0,-3.99134,32.177178177608,-15.76776015,16.409418027608
"121",0.6,"m1",1,-0.017906,0,-0.99984,-4.183728,0,-0.012605,-4.183728,0,-0.012605,8.7518694320045,-9.8084304,-1.0565609679955
"122",0.6,"m2",1,0.745579,0,-1.645665,-7.259452,0,-3.835039,-7.259452,0,-3.835039,33.7035837359125,-16.14397365,17.5596100859125
"123",0.61,"m1",1,-0.059581,0,-0.998223,-4.167474,0,0.161621,-4.167474,0,0.161621,8.6969804441585,-9.79256763,-1.0955871858415
"124",0.61,"m2",1,0.66996,0,-1.682161,-7.561918,0,-3.649581,-7.561918,0,-3.649581,35.2510226571425,-16.50199941,18.7490232471425
"125",0.62,"m1",1,-0.100982,0,-0.994888,-4.140069,0,0.33352,-4.140069,0,0.33352,8.6257034575805,-9.75985128,-1.1341478224195
"126",0.62,"m2",1,0.591323,0,-1.716493,-7.863613,0,-3.433217,-7.863613,0,-3.433217,36.811694191429,-16.83879633,19.972897861429
"127",0.63,"m1",1,-0.142,0,-0.989867,-4.101804,0,0.50216,-4.101804,0,0.50216,8.538480360008,-9.71059527,-1.172114909992
"128",0.63,"m2",1,0.509707,0,-1.748338,-8.161645,0,-3.18446,-8.161645,0,-3.18446,38.3766172988125,-17.15119578,21.2254215188125
"129",0.64,"m1",1,-0.18253,0,-0.9832,-4.053055,0,0.666647,-4.053055,0,0.666647,8.435836527817,-9.645192,-1.209355472183
"130",0.64,"m2",1,0.42518,0,-1.777359,-8.452738,0,-2.902159,-8.452738,0,-2.902159,39.9356532789625,-17.43589179,22.4997614889625
