"","x1","x2","y1","y2","z1","z2","E","t","t_sub"
"143",0.00106915,-0.06807641,0.00054429,0.45025241,0,0,-0.0029493,1.42,29
"144",0.0010831,-0.08201752,0.00056089,0.44067045,0,0,-0.00298348,1.43,29
"145",0.00109722,-0.0961251,0.00057816,0.43042024,0,0,-0.00302041,1.44,29
"146",0.00111097,-0.10986309,0.00059574,0.41985546,0,0,-0.00305632,1.45,30
"147",0.00112484,-0.12371989,0.00061403,0.40858125,0,0,-0.00309498,1.46,30
"148",0.0011383,-0.13716504,0.00063265,0.39698673,0,0,-0.00313247,1.47,30
"149",0.00115182,-0.15067229,0.00065201,0.38464304,0,0,-0.00317266,1.48,30
"150",0.00116488,-0.16371993,0.00067169,0.37197703,0,0,-0.00321148,1.49,30
"151",0.00117794,-0.17676293,0.00069217,0.35852531,0,0,-0.00325288,1.5,31
"152",0.00119048,-0.18929225,0.00071296,0.34475467,0,0,-0.00329265,1.51,31
"153",0.00120294,-0.2017395,0.00073457,0.33016721,0,0,-0.00333475,1.52,31
"154",0.00121483,-0.21361297,0.00075648,0.31527174,0,0,-0.00337492,1.53,31
"155",0.00122654,-0.22531611,0.00077924,0.29953659,0,0,-0.00341703,1.54,31
"156",0.00123762,-0.23638007,0.00080229,0.28351424,0,0,-0.00345684,1.55,32
"157",0.00124842,-0.2471752,0.00082619,0.26664096,0,0,-0.00349805,1.56,32
"158",0.00125852,-0.25726205,0.00085034,0.24951388,0,0,-0.00353653,1.57,32
"159",0.00126824,-0.26697307,0.00087534,0.2315398,0,0,-0.0035757,1.58,32
"160",0.00127718,-0.27590571,0.00090054,0.21336054,0,0,-0.00361166,1.59,32
"161",0.00128564,-0.28435016,0.00092657,0.19435698,0,0,-0.00364744,1.6,33
"162",0.00129324,-0.29194912,0.00095274,0.17521411,0,0,-0.00367952,1.61,33
"163",0.00130025,-0.29894689,0.00097969,0.15529132,0,0,-0.00371042,1.62,33
"164",0.00130635,-0.30504025,0.00100669,0.13531327,0,0,-0.0037372,1.63,33
"165",0.00131174,-0.31042492,0.00103441,0.11462282,0,0,-0.00376174,1.64,33
"166",0.00131618,-0.31486045,0.00106208,0.09397841,0,0,-0.00378183,1.65,34
"167",0.00131981,-0.31849229,0.00109038,0.07271156,0,0,-0.00379867,1.66,34
"168",0.00132247,-0.32115041,0.00111851,0.05160611,0,0,-0.00381094,1.67,34
"169",0.00132425,-0.32292924,0.00114716,0.02998727,0,0,-0.00381906,1.68,34
"170",0.00132506,-0.32373473,0.00117552,0.00865363,0,0,-0.00382275,1.69,34
"171",0.00132494,-0.32361021,0.00120428,-0.01307108,0,0,-0.00382165,1.7,35
"172",0.00132386,-0.32254025,0.00123262,-0.03438578,0,0,-0.00381655,1.71,35
"173",0.00132184,-0.32051741,0.00126122,-0.05596364,0,0,-0.00380628,1.72,35
"174",0.00131892,-0.31760408,0.0012893,-0.07701368,0,0,-0.0037927,1.73,35
"175",0.00131506,-0.31374272,0.00131752,-0.09820153,0,0,-0.00377391,1.74,35
"176",0.00131038,-0.3090694,0.0013451,-0.11875807,0,0,-0.00375268,1.75,36
"177",0.00130478,-0.30347752,0.00137271,-0.13933687,0,0,-0.00372646,1.76,36
"178",0.00129847,-0.29717006,0.0013996,-0.15920048,0,0,-0.00369879,1.77,36
"179",0.00129128,-0.2899929,0.00142641,-0.17898588,0,0,-0.00366652,1.78,36
"180",0.00128349,-0.28220748,0.00145245,-0.19799461,0,0,-0.00363379,1.79,36
"181",0.00127489,-0.27361448,0.00147832,-0.21684257,0,0,-0.003597,1.8,37
"182",0.00126579,-0.2645247,0.00150338,-0.23487499,0,0,-0.00356063,1.81,37
"183",0.00125595,-0.25469673,0.00152821,-0.25268249,0,0,-0.00352077,1.82,37
"184",0.00124573,-0.24448183,0.00155221,-0.26965644,0,0,-0.0034821,1.83,37
"185",0.00123484,-0.2336003,0.00157593,-0.28635855,0,0,-0.00344048,1.84,37
"186",0.00122366,-0.22243573,0.00159883,-0.30222692,0,0,-0.00340065,1.85,38
"187",0.00121189,-0.21067444,0.00162141,-0.31779152,0,0,-0.00335837,1.86,38
"188",0.00119993,-0.19872524,0.00164318,-0.33253646,0,0,-0.00331831,1.87,38
"189",0.00118743,-0.18624507,0.00166462,-0.34695799,0,0,-0.00327624,1.88,38
"190",0.00117484,-0.17366192,0.00168527,-0.3605847,0,0,-0.00323667,1.89,38
"191",0.00116177,-0.1606079,0.00170558,-0.37387797,0,0,-0.00319544,1.9,39
"192",0.00114867,-0.1475252,0.00172513,-0.38640881,0,0,-0.00315689,1.91,39
"193",0.00113516,-0.13402549,0.00174435,-0.39860336,0,0,-0.00311696,1.92,39
"194",0.00112168,-0.12056106,0.00176284,-0.41007283,0,0,-0.00307978,1.93,39
"195",0.00110784,-0.10672718,0.00178099,-0.42120826,0,0,-0.00304146,1.94,39
"196",0.00109408,-0.09298293,0.00179846,-0.4316588,0,0,-0.00300587,1.95,40
"197",0.00107999,-0.07891082,0.0018156,-0.44178106,0,0,-0.00296933,1.96,40
"198",0.00106604,-0.064974,0.00183209,-0.45125984,0,0,-0.00293547,1.97,40
"199",0.0010518,-0.05074543,0.00184827,-0.46041831,0,0,-0.0029008,1.98,40
"200",0.00103773,-0.03669016,0.00186384,-0.4689748,0,0,-0.00286871,1.99,40
"201",0.0010234,-0.0223744,0.0018791,-0.47722024,0,0,-0.00283593,2,41
"202",0.00100927,-0.00826327,0.0018938,-0.48490446,0,0,-0.00280562,2.01,41
"203",0.00099491,0.00608136,0.0019082,-0.49228747,0,0,-0.00277469,2.02,41
"204",0.00098079,0.02019573,0.00192207,-0.49914876,0,0,-0.00274611,2.03,41
"205",0.00096645,0.03452027,0.00193565,-0.5057188,0,0,-0.00271699,2.04,41
"206",0.00095236,0.04859382,0.00194875,-0.511805,0,0,-0.00269008,2.05,42
"207",0.00093808,0.06285737,0.00196157,-0.51760967,0,0,-0.00266269,2.06,42
"208",0.00092407,0.07685332,0.00197394,-0.52296659,0,0,-0.00263738,2.07,42
"209",0.00090989,0.09102175,0.00198604,-0.52805128,0,0,-0.00261163,2.08,42
"210",0.00089599,0.10490948,0.00199772,-0.5327224,0,0,-0.00258782,2.09,42
"211",0.00088193,0.11895444,0.00200914,-0.53713003,0,0,-0.00256362,2.1,43
"212",0.00086816,0.13270851,0.00202018,-0.54115638,0,0,-0.00254123,2.11,43
"213",0.00085425,0.14660648,0.00203096,-0.54492731,0,0,-0.00251848,2.12,43
"214",0.00084063,0.16020586,0.00204139,-0.54834741,0,0,-0.00249742,2.13,43
"215",0.00082689,0.17393738,0.00205157,-0.55151949,0,0,-0.00247603,2.14,43
"216",0.00081345,0.1873647,0.00206143,-0.55436937,0,0,-0.00245622,2.15,44
"217",0.00079989,0.20091376,0.00207105,-0.55697796,0,0,-0.00243609,2.16,44
"218",0.00078663,0.21415474,0.00208037,-0.55929129,0,0,-0.00241744,2.17,44
"219",0.00077327,0.22750819,0.00208946,-0.56136938,0,0,-0.0023985,2.18,44
"220",0.00076021,0.24055113,0.00209828,-0.56317754,0,0,-0.00238093,2.19,44
"221",0.00074705,0.25369823,0.00210686,-0.56475588,0,0,-0.00236309,2.2,45
"222",0.0007342,0.26653364,0.0021152,-0.5660881,0,0,-0.00234652,2.21,45
"223",0.00072126,0.27946567,0.00212332,-0.56719532,0,0,-0.00232971,2.22,45
"224",0.00070862,0.29208586,0.00213121,-0.56807883,0,0,-0.00231409,2.23,45
"225",0.0006959,0.3047958,0.00213888,-0.5687416,0,0,-0.00229822,2.24,45
"226",0.00068349,0.31719464,0.00214635,-0.56920176,0,0,-0.00228348,2.25,46
"227",0.00067099,0.3296769,0.0021536,-0.5694449,0,0,-0.0022685,2.26,46
"228",0.00065881,0.34184952,0.00216067,-0.56950535,0,0,-0.00225457,2.27,46
"229",0.00064655,0.35409971,0.00216752,-0.569352,0,0,-0.00224043,2.28,46
"230",0.00063459,0.36604233,0.00217421,-0.56903475,0,0,-0.00222725,2.29,46
"231",0.00062257,0.37805706,0.00218069,-0.56850647,0,0,-0.00221388,2.3,47
"232",0.00061084,0.38976683,0.00218702,-0.56783205,0,0,-0.00220141,2.31,47
"233",0.00059906,0.40154354,0.00219314,-0.56694898,0,0,-0.00218877,2.32,47
"234",0.00058757,0.41301834,0.00219914,-0.56593656,0,0,-0.00217696,2.33,47
"235",0.00057602,0.4245552,0.00220492,-0.56471748,0,0,-0.00216499,2.34,47
"236",0.00056477,0.43579357,0.0022106,-0.56338497,0,0,-0.0021538,2.35,48
"237",0.00055346,0.44708933,0.00221606,-0.56184744,0,0,-0.00214246,2.36,48
"238",0.00054245,0.45809033,0.00222143,-0.56021159,0,0,-0.00213185,2.37,48
"239",0.00053139,0.46914423,0.0022266,-0.55837205,0,0,-0.00212109,2.38,48
"240",0.00052061,0.47990737,0.00223168,-0.55644854,0,0,-0.00211103,2.39,48
"241",0.00050979,0.49071908,0.00223656,-0.55432238,0,0,-0.00210083,2.4,49
"242",0.00049925,0.50124426,0.00224137,-0.5521259,0,0,-0.00209127,2.41,49
"243",0.00048867,0.51181376,0.00224597,-0.54972755,0,0,-0.00208159,2.42,49
"244",0.00047838,0.52210117,0.00225052,-0.54727189,0,0,-0.0020725,2.43,49
"245",0.00046804,0.53242877,0.00225487,-0.54461492,0,0,-0.00206331,2.44,49
"246",0.00045798,0.54247887,0.00225917,-0.54191303,0,0,-0.00205467,2.45,50
"247",0.00044788,0.55256508,0.00226327,-0.53901016,0,0,-0.00204594,2.46,50
"248",0.00043806,0.56237852,0.00226734,-0.53607423,0,0,-0.00203772,2.47,50
"249",0.0004282,0.57222406,0.00227121,-0.53293746,0,0,-0.00202942,2.48,50
"250",0.00041862,0.58180169,0.00227505,-0.52977896,0,0,-0.0020216,2.49,50
"251",0.000409,0.59140743,0.0022787,-0.52641957,0,0,-0.00201371,2.5,51
"252",0.00039965,0.60075022,0.00228233,-0.52304932,0,0,-0.00200627,2.51,51
"253",0.00039027,0.61011717,0.00228576,-0.51947799,0,0,-0.00199875,2.52,51
"254",0.00038115,0.61922621,0.0022892,-0.51590619,0,0,-0.00199167,2.53,51
"255",0.00037202,0.62835547,0.00229243,-0.51213297,0,0,-0.00198452,2.54,51
"256",0.00036313,0.63723194,0.00229566,-0.50836929,0,0,-0.00197776,2.55,52
"257",0.00035423,0.64612468,0.0022987,-0.5044037,0,0,-0.00197096,2.56,52
"258",0.00034558,0.65476984,0.00230176,-0.50045725,0,0,-0.00196452,2.57,52
"259",0.00033691,0.66342731,0.00230461,-0.49630831,0,0,-0.00195804,2.58,52
"260",0.00032849,0.67184244,0.0023075,-0.49218776,0,0,-0.00195191,2.59,52
"261",0.00032005,0.68026592,0.00231017,-0.48786401,0,0,-0.00194574,2.6,53
"262",0.00031186,0.68845236,0.00231289,-0.48357756,0,0,-0.00193988,2.61,53
"263",0.00030366,0.69664317,0.0023154,-0.47908711,0,0,-0.00193401,2.62,53
"264",0.00029569,0.70460229,0.00231796,-0.47464255,0,0,-0.00192843,2.63,53
"265",0.00028773,0.71256175,0.00232031,-0.46999313,0,0,-0.00192283,2.64,53
"266",0.00027999,0.72029492,0.00232272,-0.46539786,0,0,-0.0019175,2.65,54
"267",0.00027225,0.72802438,0.00232492,-0.4605968,0,0,-0.00191217,2.66,54
"268",0.00026473,0.73553298,0.00232719,-0.45585789,0,0,-0.00190709,2.67,54
"269",0.00025722,0.74303378,0.00232924,-0.45091216,0,0,-0.00190202,2.68,54
"270",0.00024993,0.75031919,0.00233137,-0.44603634,0,0,-0.00189717,2.69,54
"271",0.00024265,0.75759266,0.00233329,-0.44095262,0,0,-0.00189234,2.7,55
"272",0.00023558,0.76465624,0.00233528,-0.43594629,0,0,-0.00188771,2.71,55
"273",0.00022852,0.77170371,0.00233707,-0.43073096,0,0,-0.00188311,2.72,55
"274",0.00022167,0.77854681,0.00233894,-0.42560026,0,0,-0.0018787,2.73,55
"275",0.00021485,0.78536957,0.0023406,-0.4202594,0,0,-0.00187432,2.74,55
"276",0.00020821,0.79199353,0.00234235,-0.41501019,0,0,-0.00187011,2.75,56
"277",0.00020161,0.79859286,0.00234389,-0.40954963,0,0,-0.00186594,2.76,56
"278",0.0001952,0.80499899,0.00234553,-0.40418753,0,0,-0.00186193,2.77,56
"279",0.00018881,0.81137615,0.00234696,-0.39861285,0,0,-0.00185796,2.78,56
"280",0.00018262,0.81756571,0.00234849,-0.39314325,0,0,-0.00185414,2.79,56
"281",0.00017645,0.82372193,0.00234981,-0.38745982,0,0,-0.00185037,2.8,57
"282",0.00017047,0.82969618,0.00235124,-0.38188789,0,0,-0.00184673,2.81,57
"283",0.00016453,0.83563264,0.00235245,-0.37610086,0,0,-0.00184315,2.82,57
"284",0.00015877,0.84139281,0.00235379,-0.37043157,0,0,-0.00183968,2.83,57
"285",0.00015304,0.84711066,0.0023549,-0.3645459,0,0,-0.00183627,2.84,57
"286",0.00014749,0.85265792,0.00235614,-0.35878402,0,0,-0.00183297,2.85,58
"287",0.00014198,0.85815828,0.00235716,-0.35280449,0,0,-0.00182974,2.86,58
"288",0.00013664,0.86349378,0.00235831,-0.34695465,0,0,-0.0018266,2.87,58
"289",0.00013135,0.86877775,0.00235925,-0.34088586,0,0,-0.00182354,2.88,58
"290",0.00012622,0.87390259,0.00236031,-0.33495248,0,0,-0.00182056,2.89,58
"291",0.00012115,0.8789712,0.00236116,-0.32879888,0,0,-0.00181766,2.9,59
"292",0.00011623,0.88388646,0.00236215,-0.32278627,0,0,-0.00181482,2.91,59
"293",0.00011137,0.88874071,0.00236292,-0.31655216,0,0,-0.00181208,2.92,59
"294",0.00010666,0.89344743,0.00236383,-0.31046447,0,0,-0.00180939,2.93,59
"295",0.00010201,0.89808827,0.00236452,-0.304154,0,0,-0.0018068,2.94,59
"296",9.751e-05,0.90258743,0.00236536,-0.29799526,0,0,-0.00180425,2.95,60
"297",9.308e-05,0.90701579,0.00236598,-0.29161247,0,0,-0.00180181,2.96,60
"298",8.878e-05,0.91130834,0.00236675,-0.28538657,0,0,-0.0017994,2.97,60
"299",8.456e-05,0.9155251,0.0023673,-0.27893538,0,0,-0.0017971,2.98,60
"300",8.047e-05,0.91961194,0.00236801,-0.2726461,0,0,-0.00179482,2.99,60
"301",7.646e-05,0.92361794,0.0023685,-0.26613031,0,0,-0.00179267,3,61
"302",7.257e-05,0.92749994,0.00236915,-0.25978133,0,0,-0.00179051,3.01,61
